speed,fset,n,median_df,mean_df,sd_df,q1,q3,min,max,median_fmax,n_abort
25,100,20,14.0,14.5,3.2,12.0,17.0,10.0,20.0,114.0,0
25,250,5,21.0,22.8,4.6,20.0,26.5,20.0,32.0,271.0,0
25,500,5,27.0,36.2,16.7,22.5,54.5,21.0,66.0,527.0,0
25,750,5,29.0,27.2,2.7,24.0,29.5,23.0,30.0,779.0,0
25,1000,4,35.5,36.5,4.7,32.0,42.0,31.0,44.0,1035.5,0
50,100,20,25.5,30.2,10.0,23.0,41.2,16.0,48.0,125.5,0
50,250,5,38.0,40.6,13.2,30.5,52.0,23.0,64.0,288.0,0
50,500,5,53.0,57.4,8.9,49.5,67.5,48.0,72.0,553.0,0
50,750,5,78.0,64.4,29.5,31.5,90.5,14.0,95.0,828.0,0
50,1000,5,69.0,64.8,13.2,50.5,77.0,42.0,79.0,1069.0,0
100,100,20,74.0,77.8,24.6,64.5,87.5,43.0,160.0,174.0,0
100,250,5,97.0,111.6,22.6,91.5,139.0,91.0,143.0,347.0,0
100,500,5,102.0,111.2,25.1,87.0,140.0,76.0,140.0,602.0,0
100,750,5,155.0,144.2,52.0,88.5,194.5,56.0,198.0,905.0,0
100,1000,5,137.0,145.4,26.2,122.0,173.0,113.0,190.0,1137.0,0
250,100,20,227.5,231.1,44.7,202.5,244.8,190.0,398.0,327.5,0
250,250,5,305.0,311.4,39.4,269.5,356.5,268.0,365.0,555.0,0
250,500,5,296.0,306.2,42.4,267.0,350.5,256.0,379.0,796.0,0
250,750,5,355.0,370.2,128.2,234.0,514.0,192.0,517.0,1105.0,0
250,1000,5,350.0,347.2,50.3,292.0,401.0,285.0,419.0,1350.0,0
500,100,20,507.5,515.2,80.9,468.5,567.8,355.0,726.0,607.5,0
500,250,5,741.0,728.4,68.4,651.0,799.5,634.0,816.0,991.0,0
500,500,5,904.0,804.8,154.8,631.0,929.0,535.0,942.0,1404.0,0
500,750,5,746.0,820.6,188.0,672.5,1006.0,666.0,1177.0,1496.0,0
500,1000,5,1072.0,1104.6,190.4,942.0,1283.5,891.0,1454.0,2072.0,1
750,100,20,1114.0,986.5,281.0,645.0,1225.8,509.0,1326.0,1214.0,0
750,250,5,964.0,950.2,90.9,854.0,1039.5,847.0,1097.0,1214.0,0
750,500,5,1344.0,1305.2,247.6,1087.0,1504.0,840.0,1570.0,1844.0,0
750,750,5,1096.0,1174.2,172.3,1012.5,1375.0,1006.0,1443.0,1846.0,0
750,1000,5,1028.0,1012.6,54.9,958.5,1059.0,912.0,1072.0,2028.0,0
1000,100,20,936.5,1050.5,268.4,862.8,1056.2,812.0,1774.0,1036.5,0
1000,250,5,1524.0,1541.4,245.6,1311.5,1780.0,1271.0,1978.0,1774.0,1
1000,500,5,1169.0,1186.0,169.2,1018.5,1362.0,1002.0,1472.0,1669.0,0
1000,750,5,1083.0,1202.6,327.8,877.0,1588.0,846.0,1665.0,1833.0,2
1000,1000,5,1403.0,1379.4,133.5,1230.0,1517.0,1175.0,1522.0,2403.0,4
